variant.id;id;sku;title;price;product_id;title.1;totalInventory;totalVariants;mediaCount;sku_2
gid://shopify/ProductVariant/46336653000999;gid://shopify/ProductVariant/46336653000999;BR04822T;Default Title;17800.0;gid://shopify/Product/8573650043175;Brinco Love Ny De Ouro Amarelo 18K E Diamante;5;1;2;BR04822T
gid://shopify/ProductVariant/46336654967079;gid://shopify/ProductVariant/46336654967079;BR04824T;Default Title;10500.0;gid://shopify/Product/8573650239783;Brinco Ear Cuff Love Ny De Ouro Amarelo 18K;5;1;2;BR04824T
gid://shopify/ProductVariant/46336656113959;gid://shopify/ProductVariant/46336656113959;BR04833T;Default Title;21000.0;gid://shopify/Product/8573650436391;Brinco Ear Cuff Love Ny De Ouro Amarelo 18K;5;1;2;BR04833T
gid://shopify/ProductVariant/46336657981735;gid://shopify/ProductVariant/46336657981735;BR04845T;Default Title;14500.0;gid://shopify/Product/8573650796839;Brinco Love Ny De Ouro Amarelo 18K E Diamante;5;1;2;BR04845T
gid://shopify/ProductVariant/46336660963623;gid://shopify/ProductVariant/46336660963623;BR04820T;Default Title;16000.0;gid://shopify/Product/8573651681575;Brinco Love Ny De Ouro Branco 18K E Diamante;5;1;2;BR04820T
gid://shopify/ProductVariant/46336666075431;gid://shopify/ProductVariant/46336666075431;BR04852T;Default Title;23000.0;gid://shopify/Product/8573652861223;Brinco Ear Cuff Love Ny De Ouro Branco 18K E Diamante;5;1;2;BR04852T
gid://shopify/ProductVariant/46336667812135;gid://shopify/ProductVariant/46336667812135;CL03693;Default Title;35000.0;gid://shopify/Product/8573653123367;Colar Love Ny De Ouro Amarelo 18K;5;1;2;CL03693
gid://shopify/ProductVariant/46336673612071;gid://shopify/ProductVariant/46336673612071;CL03712;Default Title;51000.0;gid://shopify/Product/8573654499623;Colar Love NY De Ouro Branco 18K E Diamante;5;1;2;CL03712
gid://shopify/ProductVariant/46336675283239;gid://shopify/ProductVariant/46336675283239;CL03716;M;22000.0;gid://shopify/Product/8573654860071;Colar Love NY De Ouro Branco 18K E Diamante;5;3;2;CL03716
gid://shopify/ProductVariant/46355364610343;gid://shopify/ProductVariant/46355364610343;BR05260T;Default Title;6900.0;gid://shopify/Product/8577717993767;Brinco Lifestyle De Ouro Amarelo 18K;5;1;2;BR05260T
gid://shopify/ProductVariant/46355364806951;gid://shopify/ProductVariant/46355364806951;BR05271T;Default Title;9500.0;gid://shopify/Product/8577718190375;Brinco Lifestyle De Ouro Amarelo 18K;5;1;2;BR05271T
gid://shopify/ProductVariant/46355365265703;gid://shopify/ProductVariant/46355365265703;BR05257T;Default Title;10200.0;gid://shopify/Product/8577718583591;Brinco Ear Cuff Lifestyle De Ouro Branco 18K Com Ródio Negro E Diamante;0;1;2;BR05257T
gid://shopify/ProductVariant/46355365364007;gid://shopify/ProductVariant/46355365364007;BR05258T;Default Title;10500.0;gid://shopify/Product/8577718681895;Brinco Lifestyle De Ouro Branco 18K Com Ródio Negro E Diamante E Esmeralda;5;1;2;BR05258T
gid://shopify/ProductVariant/46355366117671;gid://shopify/ProductVariant/46355366117671;BR05262T;Default Title;8700.0;gid://shopify/Product/8577719206183;Brinco Lifestyle De Ouro Branco 18K Com Ródio Negro E Diamante;5;1;2;BR05262T
gid://shopify/ProductVariant/46355366543655;gid://shopify/ProductVariant/46355366543655;BR05268T;G;25800.0;gid://shopify/Product/8577719370023;Brinco Lifestyle De Ouro Branco 18K Com Ródio Negro E Diamante - G;0;1;2;BR05268T
gid://shopify/ProductVariant/46355367067943;gid://shopify/ProductVariant/46355367067943;BR05392T;Default Title;9250.0;gid://shopify/Product/8577719632167;Brinco Lifestyle De Ouro Branco 18K Com Ródio Negro E Diamante Negro;5;1;2;BR05392T
gid://shopify/ProductVariant/46355367231783;gid://shopify/ProductVariant/46355367231783;BR05256T;Default Title;14500.0;gid://shopify/Product/8577719828775;Brinco Ear Cuff Lifestyle De Ouro Branco 18K E Diamante;0;1;2;BR05256T
gid://shopify/ProductVariant/46355367297319;gid://shopify/ProductVariant/46355367297319;BR05259T;P;24000.0;gid://shopify/Product/8577719861543;Brinco Lifestyle De Ouro Branco 18K E Diamante - P;5;1;2;BR05259T
