variant.id;id;sku;title;price;comparePrice;product_id;title.1;totalInventory;totalVariants;mediaCount;sku_2;SKU;Porcentagem;Encomenda
gid://shopify/ProductVariant/46355513737511;gid://shopify/ProductVariant/46355513737511;PI01342;G;600.0;1200.0;gid://shopify/Product/8577774518567;Pingente Pop Chain De Prata Com Ródio Negro - G;6.0;1.0;3.0;PI01342;PI01342;50.0;Nao
gid://shopify/ProductVariant/46355513901351;gid://shopify/ProductVariant/46355513901351;PI01346;P;400.0;800.0;gid://shopify/Product/8577774649639;Pingente Pop Chain De Prata Com Ródio Negro - P;9.0;1.0;3.0;PI01346;PI01346;50.0;Nao
gid://shopify/ProductVariant/46355514261799;gid://shopify/ProductVariant/46355514261799;PI01351;Default Title;500.0;1000.0;gid://shopify/Product/8577774780711;Pingente Pop Chain De Prata Com Ródio Negro;6.0;1.0;3.0;PI01351;PI01351;50.0;Nao
gid://shopify/ProductVariant/46356181352743;gid://shopify/ProductVariant/46356181352743;PU01862T;PP;1890.0;2700.0;gid://shopify/Product/8577926824231;Pulseira JV MAN II De Prata Com Ródio Negro;1.0;1.0;0.0;PU01862T;PU01862T;30.0;Nao
gid://shopify/ProductVariant/46356183122215;gid://shopify/ProductVariant/46356183122215;PU01868T;P;2030.0;2900.0;gid://shopify/Product/8577927053607;Pulseira JV MAN II De Prata Com Ródio Negro;13.0;3.0;2.0;PU01868T;PU01868T;30.0;Sim
gid://shopify/ProductVariant/46356188561703;gid://shopify/ProductVariant/46356188561703;PU01873T;P;2030.0;2900.0;gid://shopify/Product/8577927676199;Pulseira JV MAN II De Prata Com Ouro Branco;9.0;2.0;2.0;PU01873T;PU01873T;30.0;Nao
gid://shopify/ProductVariant/46356299809063;gid://shopify/ProductVariant/46356299809063;PU01885T;P;1890.0;2700.0;gid://shopify/Product/8577943175463;Pulseira JV MAN II De Prata Com Ouro Branco Fosco;25.0;4.0;1.0;PU01885T;PU01885T;30.0;Nao
gid://shopify/ProductVariant/46356303970599;gid://shopify/ProductVariant/46356303970599;PU01890T;GG;1890.0;2700.0;gid://shopify/Product/8577943830823;Pulseira JV MAN II De Prata Com Ródio Negro Fosco;38.0;4.0;1.0;PU01890T;PU01890T;30.0;Nao
gid://shopify/ProductVariant/46356305084711;gid://shopify/ProductVariant/46356305084711;PU01892T;P;2030.0;2900.0;gid://shopify/Product/8577943961895;Pulseira JV MAN II De Prata Com Ródio Negro Fosco;8.0;1.0;1.0;PU01892T;PU01892T;30.0;Sim
gid://shopify/ProductVariant/46356306788647;gid://shopify/ProductVariant/46356306788647;PU01893T;P;2030.0;2900.0;gid://shopify/Product/8577944191271;Pulseira JV MAN II De Prata Com Ouro Branco Fosco;5.0;1.0;1.0;PU01893T;PU01893T;30.0;Nao
gid://shopify/ProductVariant/46390856712487;gid://shopify/ProductVariant/46390856712487;PI01125;G;490.0;980.0;gid://shopify/Product/8582011060519;Pingente Pop Beijo  De Prata Com Ouro Amarelo - G;2.0;1.0;2.0;PI01125;PI01125;50.0;Nao
gid://shopify/ProductVariant/46390856843559;gid://shopify/ProductVariant/46390856843559;PI01127;G;490.0;980.0;gid://shopify/Product/8582011158823;Pingente Pop Sorriso De Prata Com Ouro Amarelo - G;3.0;1.0;2.0;PI01127;PI01127;50.0;Nao
gid://shopify/ProductVariant/46390856941863;gid://shopify/ProductVariant/46390856941863;PI01132;P;325.0;650.0;gid://shopify/Product/8582011257127;Pingente Pop óculos De Prata Com Ouro Amarelo - P;5.0;1.0;2.0;PI01132;PI01132;50.0;Nao
gid://shopify/ProductVariant/46390856974631;gid://shopify/ProductVariant/46390856974631;PI01133;P;325.0;650.0;gid://shopify/Product/8582011289895;Pingente Pop Sorriso De Prata Com Ouro Amarelo - P;21.0;1.0;2.0;PI01133;PI01133;50.0;Nao
gid://shopify/ProductVariant/46390857072935;gid://shopify/ProductVariant/46390857072935;PI01134;P;425.0;850.0;gid://shopify/Product/8582011355431;Pingente Pop Coração De Prata Com Ouro Amarelo - P;7.0;1.0;2.0;PI01134;PI01134;50.0;Sim
gid://shopify/ProductVariant/46390858055975;gid://shopify/ProductVariant/46390858055975;PI01136;Default Title;500.0;1000.0;gid://shopify/Product/8582011453735;Pingente Pop De Prata Com Ouro Amarelo;13.0;1.0;2.0;PI01136;PI01136;50.0;Nao
gid://shopify/ProductVariant/46390858350887;gid://shopify/ProductVariant/46390858350887;PI01138;Default Title;325.0;650.0;gid://shopify/Product/8582011519271;Pingente Pop Beijo De Prata Com Ouro Amarelo;2.0;1.0;0.0;PI01138;PI01138;50.0;Nao
gid://shopify/ProductVariant/46390860906791;gid://shopify/ProductVariant/46390860906791;PI01139;Default Title;325.0;650.0;gid://shopify/Product/8582011650343;Pingente Pop óculos De Prata Com Ouro Amarelo;8.0;1.0;0.0;PI01139;PI01139;50.0;Nao
gid://shopify/ProductVariant/46393437225255;gid://shopify/ProductVariant/46393437225255;AN02949-14;14;13600.0;17000.0;gid://shopify/Product/8582654296359;Anel 15 Anos De Ouro Branco 18K Com Ródio Negro E Diamante;69.0;13.0;2.0;AN02949;AN02949;20.0;Sim
gid://shopify/ProductVariant/46393437290791;gid://shopify/ProductVariant/46393437290791;AN02949-16;16;13600.0;17000.0;gid://shopify/Product/8582654296359;Anel 15 Anos De Ouro Branco 18K Com Ródio Negro E Diamante;69.0;13.0;2.0;AN02949;AN02949;20.0;Sim
gid://shopify/ProductVariant/46393437323559;gid://shopify/ProductVariant/46393437323559;AN02949-17;17;13600.0;17000.0;gid://shopify/Product/8582654296359;Anel 15 Anos De Ouro Branco 18K Com Ródio Negro E Diamante;69.0;13.0;2.0;AN02949;AN02949;20.0;Sim
gid://shopify/ProductVariant/46393440207143;gid://shopify/ProductVariant/46393440207143;AN03337-15;15;2240.0;3200.0;gid://shopify/Product/8582654787879;Anel Blossom De Prata Com Ouro Amarelo E Safira;1.0;13.0;3.0;AN03337;AN03337;30.0;Nao
gid://shopify/ProductVariant/46393440633127;gid://shopify/ProductVariant/46393440633127;AN03338-15;15;2170.0;3100.0;gid://shopify/Product/8582654820647;Anel Blossom De Prata Com Ródio Negro E Safira;1.0;13.0;3.0;AN03338;AN03338;30.0;Nao
gid://shopify/ProductVariant/46393441911079;gid://shopify/ProductVariant/46393441911079;AN03342-13;13;980.0;1400.0;gid://shopify/Product/8582654984487;Anel Blossom De Prata Com Ródio Negro E Safira;68.0;13.0;3.0;AN03342;AN03342;30.0;Sim
gid://shopify/ProductVariant/46393442009383;gid://shopify/ProductVariant/46393442009383;AN03342-16;16;980.0;1400.0;gid://shopify/Product/8582654984487;Anel Blossom De Prata Com Ródio Negro E Safira;68.0;13.0;3.0;AN03342;AN03342;30.0;Sim
gid://shopify/ProductVariant/46393498960167;gid://shopify/ProductVariant/46393498960167;AN03444-17;17;32640.0;40800.0;gid://shopify/Product/8582663471399;Anel Rock Star De Ouro Rosa E Branco 18K E Morganita E Diamante;1.0;13.0;1.0;AN03444;AN03444;20.0;Nao
gid://shopify/ProductVariant/46393505382695;gid://shopify/ProductVariant/46393505382695;AN03456-20;20;14400.0;18000.0;gid://shopify/Product/8582664290599;Anel Rock Star De Ouro Branco 18K Com Ródio Negro E Quartzo E Diamante;1.0;13.0;1.0;AN03456;AN03456;20.0;Nao
gid://shopify/ProductVariant/46393507217703;gid://shopify/ProductVariant/46393507217703;AN03398-16;16;6400.0;8000.0;gid://shopify/Product/8582664585511;Anel Rock Star De Ouro Branco 18K Com Ródio Negro E Diamante E Safira;66.0;13.0;2.0;AN03398;AN03398;20.0;Sim
