id;title;key;value;__parentId
gid://shopify/Metafield/30873766953255;;cuidadospeca;"Evite o contato de uma joia com a outra. Guarde-as separadamente nas embalagens fornecidas pela Jack Vartanian;
Com o uso, fechos e tarraxas podem necessitar de ajustes para que fiquem com a pressão adequada. Entre em contato conosco;
Após o uso, aconselhamos limpar a joia com flanela de algodão para tirar possíveis resíduos de produtos como maquiagem e perfume;
Evite o contato com água do mar, cremes, perfumes e produtos químicos;
Para peças em prata o primeiro banho é cortesia;
Para peças ocas, evite atritos ou batidas.";gid://shopify/Product/8573469065511
gid://shopify/Product/8573469491495;Brinco Blossom De Prata Com Ouro Amarelo E Safira;;;
gid://shopify/Metafield/30873768657191;;genero;"[""Feminino""]";gid://shopify/Product/8573469491495
gid://shopify/Metafield/30873768689959;;metal;Prata;gid://shopify/Product/8573469491495
gid://shopify/Metafield/30873768722727;;cobertura;Ouro Amarelo;gid://shopify/Product/8573469491495
gid://shopify/Metafield/30873768755495;;pedra;"[""Safira""]";gid://shopify/Product/8573469491495
gid://shopify/Metafield/30873768788263;;cuidadospeca;"Evite o contato de uma joia com a outra. Guarde-as separadamente nas embalagens fornecidas pela Jack Vartanian;
Com o uso, fechos e tarraxas podem necessitar de ajustes para que fiquem com a pressão adequada. Entre em contato conosco;
Após o uso, aconselhamos limpar a joia com flanela de algodão para tirar possíveis resíduos de produtos como maquiagem e perfume;
Evite o contato com água do mar, cremes, perfumes e produtos químicos;
Para peças em prata o primeiro banho é cortesia;
Para peças ocas, evite atritos ou batidas.";gid://shopify/Product/8573469491495
gid://shopify/Product/8573469917479;Brinco Blossom De Prata Com Ródio Negro E Safira - G;;;
gid://shopify/Metafield/30873769345319;;genero;"[""Feminino""]";gid://shopify/Product/8573469917479
gid://shopify/Metafield/30873769378087;;metal;Prata;gid://shopify/Product/8573469917479
gid://shopify/Metafield/30873769410855;;cobertura;Ródio Negro;gid://shopify/Product/8573469917479
gid://shopify/Metafield/30873769443623;;pedra;"[""Safira""]";gid://shopify/Product/8573469917479
