Cod_Produto;Id_Product;Title_Product;image_url;Sku;Id_Variant;Title_Variant;Price
CL04179;gid://shopify/Product/8573508124967;Colar Chain De Prata Com Ródio Negro - P;CL04179;gid://shopify/ProductVariant/46335255904551;P;6200.0
BR05606T;gid://shopify/Product/8573508452647;Piercing Chain De Prata Com Ouro Amarelo;BR05606T;gid://shopify/ProductVariant/46335260197159;Default Title;980.0
PU01791T;gid://shopify/Product/8573508714791;Pulseira Chain De Prata Com Ouro Amarelo - P;PU01791T;gid://shopify/ProductVariant/46335263408423;P;3700.0
PU01801T;gid://shopify/Product/8573509173543;Pulseira Chain De Prata Com Ouro Amarelo - P;PU01801T;gid://shopify/ProductVariant/46335268290855;P;3900.0
PU01803T;gid://shopify/Product/8573509468455;Pulseira Chain De Prata Com Ouro Amarelo - P;PU01803T;gid://shopify/ProductVariant/46335271207207;P;4100.0
PU01805T;gid://shopify/Product/8573509730599;Pulseira Chain De Prata Com Ouro Amarelo - G;PU01805T;gid://shopify/ProductVariant/46335274320167;G;4900.0
PU01792T;gid://shopify/Product/8573509992743;Pulseira Chain De Prata Com Ródio Negro - P;PU01792T;gid://shopify/ProductVariant/46335277662503;P;3700.0
PU01802T;gid://shopify/Product/8573510287655;Pulseira Chain De Prata Com Ródio Negro - P;PU01802T;gid://shopify/ProductVariant/46335280873767;P;3900.0
PU01804T;gid://shopify/Product/8573510648103;Pulseira Chain De Prata Com Ródio Negro - P;PU01804T;gid://shopify/ProductVariant/46335285297447;P;4100.0
PU01806T;gid://shopify/Product/8573510975783;Pulseira Chain De Prata Com Ródio Negro - G;PU01806T;gid://shopify/ProductVariant/46335289983271;G;4900.0
BR05581T;gid://shopify/Product/8573576708391;Brinco Chain Love De Ouro 18K Com Ródio Negro E Diamante;BR05581T;gid://shopify/ProductVariant/46336082936103;Default Title;2900.0
BR05603T;gid://shopify/Product/8573576937767;Brinco Chain Love De Ouro 18K Com Ródio Negro E Diamante;BR05603T;gid://shopify/ProductVariant/46336085983527;Default Title;5900.0
BR05580T;gid://shopify/Product/8573577265447;Brinco Chain Love De Ouro Branco 18K E Diamante;BR05580T;gid://shopify/ProductVariant/46336089096487;Default Title;3200.0
BR05604T;gid://shopify/Product/8573577593127;Brinco Chain Love De Ouro Branco 18K E Diamante;BR05604T;gid://shopify/ProductVariant/46336093389095;Default Title;6200.0
BR05777T;gid://shopify/Product/8573577920807;Piercing Chain Love De Ouro 18K Com Ródio Negro E Diamante;BR05777T;gid://shopify/ProductVariant/46336096796967;Default Title;12000.0
BR05778T;gid://shopify/Product/8573578215719;Piercing Chain Love De Ouro 18K Com Ródio Negro E Diamante Negro;BR05778T;gid://shopify/ProductVariant/46336099909927;Default Title;4200.0
BR05779T;gid://shopify/Product/8573578608935;Piercing Chain Love De Ouro 18K Com Ródio Negro E Esmeralda;BR05779T;gid://shopify/ProductVariant/46336104169767;Default Title;4600.0
CL01443;gid://shopify/Product/8573579919655;Colar Choker De Ouro Amarelo 18K;CL01443;gid://shopify/ProductVariant/46336121569575;Default Title;20900.0
CL01450;gid://shopify/Product/8573580116263;Colar Choker De Ouro Amarelo 18K;CL01450;gid://shopify/ProductVariant/46336123502887;Default Title;5500.0
CL01442;gid://shopify/Product/8573580673319;Colar Choker De Ouro 18K Com Ródio Negro E Diamante;CL01442;gid://shopify/ProductVariant/46336129794343;Default Title;23600.0
CL01447;gid://shopify/Product/8573581000999;Colar Choker De Ouro 18K Com Ródio Negro E Diamante;CL01447;gid://shopify/ProductVariant/46336133431591;Default Title;29000.0
CL01449;gid://shopify/Product/8573581426983;Colar Choker De Ouro 18K Com Ródio Negro E Diamante;CL01449;gid://shopify/ProductVariant/46336136773927;Default Title;5600.0
CL01451;gid://shopify/Product/8573581656359;Colar Choker De Ouro 18K Com Ródio Negro E Diamante;CL01451;gid://shopify/ProductVariant/46336139165991;Default Title;4200.0
CL03641;gid://shopify/Product/8573581787431;Colar Choker De Ouro 18K Com Ródio Negro E Rubi;CL03641;gid://shopify/ProductVariant/46336139264295;Default Title;4500.0
CL03642;gid://shopify/Product/8573581852967;Colar Choker De Ouro 18K Com Ródio Negro E Esmeralda;CL03642;gid://shopify/ProductVariant/46336139493671;Default Title;4900.0
CL03643;gid://shopify/Product/8573581918503;Colar Choker De Ouro 18K Com Ródio Negro E Safira;CL03643;gid://shopify/ProductVariant/46336139559207;Default Title;4500.0
CL03645;gid://shopify/Product/8573582016807;Colar Choker De Ouro 18K Com Ródio Negro E Diamante Negro;CL03645;gid://shopify/ProductVariant/46336139657511;Default Title;4900.0
CL01438;gid://shopify/Product/8573582213415;Colar Choker De Ouro Branco 18K E Diamante;CL01438;gid://shopify/ProductVariant/46336140837159;Default Title;26800.0
CL01446;gid://shopify/Product/8573582541095;Colar Choker De Ouro Branco 18K E Diamante;CL01446;gid://shopify/ProductVariant/46336144146727;Default Title;31200.0
CL01448;gid://shopify/Product/8573582901543;Colar Choker De Ouro Branco 18K E Diamante;CL01448;gid://shopify/ProductVariant/46336149192999;Default Title;5800.0
CL01452;gid://shopify/Product/8573583196455;Colar Choker De Ouro Branco 18K E Diamante;CL01452;gid://shopify/ProductVariant/46336152437031;Default Title;4400.0
BR05643T;gid://shopify/Product/8573584998695;Brinco Ear Cuff Deco 2019 De Ouro Amarelo 18K E Diamante;BR05643T;gid://shopify/ProductVariant/46336174981415;Default Title;9900.0
BR05649T;gid://shopify/Product/8573585326375;Brinco Ear Cuff Deco 2019 De Ouro Amarelo 18K E Diamante;BR05649T;gid://shopify/ProductVariant/46336178258215;Default Title;13500.0
BR05642T;gid://shopify/Product/8573585621287;Brinco Ear Cuff Deco 2019 De Ouro Branco 18K E Diamante;BR05642T;gid://shopify/ProductVariant/46336182747431;Default Title;13900.0
