id;sku;title;price;key;namespace;type;value;__parentId;product_id;title;totalInventory;totalVariants;mediaCount;sku_2
gid://shopify/ProductVariant/46336260899111;CO00023;Default Title;2900.0;;;;;;gid://shopify/Product/8573593420071;Corrente Você | De Ouro Branco 18K 45cm;9.0;1.0;4.0;CO00023
gid://shopify/ProductVariant/46336261521703;CO01277;Default Title;1800.0;;;;;;gid://shopify/Product/8573593551143;Corrente Clássico De Ouro Branco 18K;7.0;1.0;2.0;CO01277
gid://shopify/ProductVariant/46336262603047;CO01315;Default Title;3700.0;;;;;;gid://shopify/Product/8573593682215;Corrente Clássico De Ouro Branco 18K;8.0;1.0;3.0;CO01315
gid://shopify/ProductVariant/46336263815463;CO01313;Default Title;2900.0;;;;;;gid://shopify/Product/8573593846055;Corrente Clássico De Ouro Rosa 18K;7.0;1.0;3.0;CO01313
gid://shopify/ProductVariant/46336265126183;CO01317;Default Title;3700.0;;;;;;gid://shopify/Product/8573594009895;Corrente Clássico De Ouro Rosa 18K;10.0;1.0;3.0;CO01317
gid://shopify/ProductVariant/46336266240295;BR02212T;Default Title;2300.0;;;;;;gid://shopify/Product/8573594140967;Piercing Clássico De Ouro Amarelo 18K E Diamante;6.0;1.0;3.0;BR02212T
gid://shopify/ProductVariant/46336267059495;BR03167T;Default Title;1600.0;;;;;;gid://shopify/Product/8573594304807;Piercing Clássico De Ouro Branco 18K Com Ródio Negro E Diamante Negro;9.0;1.0;3.0;BR03167T
gid://shopify/ProductVariant/46336268009767;BR03682T;Default Title;1950.0;;;;;;gid://shopify/Product/8573594435879;Piercing Clássico De Ouro Branco 18K Com Ródio Negro E Diamante;6.0;1.0;3.0;BR03682T
gid://shopify/ProductVariant/46336268599591;BR02192T;Default Title;2300.0;;;;;;gid://shopify/Product/8573594534183;Piercing Clássico De Ouro Branco 18K E Diamante;5.0;1.0;3.0;BR02192T
gid://shopify/ProductVariant/46336268632359;PU01082T;Default Title;2200.0;;;;;;gid://shopify/Product/8573594566951;Pulseira Clássico De Ouro Amarelo 18K E Safira;11.0;1.0;3.0;PU01082T
