id;sku;__parentId;product_id;product_title;totalVariants;inventoryItem_id;variant.id;variant.sku;variant.title;location_id;location_name;Qty;sku_2
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48386323382567;BR05937T;gid://shopify/ProductVariant/46334867767591;gid://shopify/Product/8573470703911;Brinco Blossom De Prata Com Ródio Negro E Safira;1;gid://shopify/InventoryItem/48386323382567;gid://shopify/ProductVariant/46334867767591;BR05937T;Default Title;gid://shopify/Location/88734335271;Encomenda - Prata;5;BR05937T
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48386352316711;BR04476T;gid://shopify/ProductVariant/46334897094951;gid://shopify/Product/8573475946791;Brinco Brasil De Ouro Branco 18K Com Ródio Negro E Turmalina;1;gid://shopify/InventoryItem/48386352316711;gid://shopify/ProductVariant/46334897094951;BR04476T;Default Title;gid://shopify/Location/88734269735;Encomenda - Ouro;0;BR04476T
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48386352316711;BR04476T;gid://shopify/ProductVariant/46334897094951;gid://shopify/Product/8573475946791;Brinco Brasil De Ouro Branco 18K Com Ródio Negro E Turmalina;1;gid://shopify/InventoryItem/48386352316711;gid://shopify/ProductVariant/46334897094951;BR04476T;Default Title;gid://shopify/Location/88734335271;Encomenda - Prata;0;BR04476T
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48386514026791;BR06373T;gid://shopify/ProductVariant/46335058542887;gid://shopify/Product/8573490659623;Brinco Celebrate De Ouro Amarelo 18K E Diamante;1;gid://shopify/InventoryItem/48386514026791;gid://shopify/ProductVariant/46335058542887;BR06373T;Default Title;gid://shopify/Location/88734269735;Encomenda - Ouro;5;BR06373T
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48386514026791;BR06373T;gid://shopify/ProductVariant/46335058542887;gid://shopify/Product/8573490659623;Brinco Celebrate De Ouro Amarelo 18K E Diamante;1;gid://shopify/InventoryItem/48386514026791;gid://shopify/ProductVariant/46335058542887;BR06373T;Default Title;gid://shopify/Location/88734335271;Encomenda - Prata;0;BR06373T
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48386519400743;BR06375T;gid://shopify/ProductVariant/46335063916839;gid://shopify/Product/8573491052839;Brinco Celebrate De Ouro Amarelo 18K E Diamante;1;gid://shopify/InventoryItem/48386519400743;gid://shopify/ProductVariant/46335063916839;BR06375T;Default Title;gid://shopify/Location/88734269735;Encomenda - Ouro;5;BR06375T
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48386519400743;BR06375T;gid://shopify/ProductVariant/46335063916839;gid://shopify/Product/8573491052839;Brinco Celebrate De Ouro Amarelo 18K E Diamante;1;gid://shopify/InventoryItem/48386519400743;gid://shopify/ProductVariant/46335063916839;BR06375T;Default Title;gid://shopify/Location/88734335271;Encomenda - Prata;0;BR06375T
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48386523234599;BR06377T;gid://shopify/ProductVariant/46335067750695;gid://shopify/Product/8573491413287;Brinco Celebrate De Ouro Amarelo 18K E Diamante;1;gid://shopify/InventoryItem/48386523234599;gid://shopify/ProductVariant/46335067750695;BR06377T;Default Title;gid://shopify/Location/88734269735;Encomenda - Ouro;5;BR06377T
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48386523234599;BR06377T;gid://shopify/ProductVariant/46335067750695;gid://shopify/Product/8573491413287;Brinco Celebrate De Ouro Amarelo 18K E Diamante;1;gid://shopify/InventoryItem/48386523234599;gid://shopify/ProductVariant/46335067750695;BR06377T;Default Title;gid://shopify/Location/88734335271;Encomenda - Prata;0;BR06377T
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48386530050343;BR06379T;gid://shopify/ProductVariant/46335074533671;gid://shopify/Product/8573492003111;Brinco Celebrate De Ouro Amarelo 18K E Diamante;1;gid://shopify/InventoryItem/48386530050343;gid://shopify/ProductVariant/46335074533671;BR06379T;Default Title;gid://shopify/Location/88734269735;Encomenda - Ouro;5;BR06379T
