id;sku;title;price;compareAtPrice;inventoryQuantity;product_id;title.1;totalInventory;totalVariants;mediaCount;sku_2
gid://shopify/ProductVariant/46393483297063;AN03030-10;10;7800.0;7800.0;5;gid://shopify/Product/8582660981031;Anel Lifestyle | Ouro Branco 18K Com Ródio Negro E Diamantes;66.0;13.0;2;AN03030
gid://shopify/ProductVariant/46393486115111;AN03031-10;10;23000.0;17000.0;5;gid://shopify/Product/8582661308711;Anel Lifestyle | Ouro Branco 18K E Diamantes;67.0;13.0;2;AN03031
gid://shopify/ProductVariant/46393486541095;AN03028-10;10;5900.0;5900.0;5;gid://shopify/Product/8582661341479;Anel Lifestyle | Ouro Amarelo 18K;66.0;13.0;2;AN03028
gid://shopify/ProductVariant/46393488146727;AN02815-10;10;6800.0;6800.0;5;gid://shopify/Product/8582661538087;Anel Love Ny | Ouro Amarelo 18K;66.0;13.0;3;AN02815
gid://shopify/ProductVariant/46393489260839;AN03585-10;10;1500.0;1500.0;5;gid://shopify/Product/8582661734695;Anel Mare | Prata com Ouro Amarelo e Pérola;69.0;13.0;3;AN03585
gid://shopify/ProductVariant/46393489785127;AN03586-10;10;2100.0;2100.0;5;gid://shopify/Product/8582661865767;Anel Mare | Prata com Ouro Amarelo 18K;68.0;13.0;3;AN03586
gid://shopify/ProductVariant/46393490407719;AN01604-10;10;5500.0;3500.0;5;gid://shopify/Product/8582661996839;Anel Namo 2012 | Ouro Branco 18K Com Ródio Negro E Diamantes;66.0;13.0;2;AN01604
gid://shopify/ProductVariant/46393490997543;AN01605-10;10;5500.0;3500.0;5;gid://shopify/Product/8582662095143;Anel Namo 2012 | Ouro Branco 18K E Diamantes;66.0;13.0;2;AN01605
gid://shopify/ProductVariant/46393491620135;AN01606-10;10;5500.0;3500.0;5;gid://shopify/Product/8582662226215;Anel Namo 2012 | Ouro Rosa 18K E Diamantes;66.0;13.0;2;AN01606
gid://shopify/ProductVariant/46393492177191;AN01607-10;10;5500.0;3500.0;5;gid://shopify/Product/8582662324519;Anel Namo 2012 | Ouro Amarelo 18K E Diamantes;67.0;13.0;2;AN01607
gid://shopify/ProductVariant/46393493717287;AN01609-10;10;2500.0;2500.0;5;gid://shopify/Product/8582662521127;Anel Namo 2012 | Ouro Branco 18K;66.0;13.0;2;AN01609
gid://shopify/ProductVariant/46393494339879;AN01610-10;10;2500.0;2500.0;5;gid://shopify/Product/8582662619431;Anel Namo 2012 | Ouro Rosa 18K;66.0;13.0;2;AN01610
gid://shopify/ProductVariant/46393495159079;AN02506-10;10;3200.0;3200.0;5;gid://shopify/Product/8582662816039;Anel Orquidea | Prata Com Ouro Rosa E Diamante;66.0;13.0;3;AN02506
