Cod_Prod;sku_2;product_id
PI01153;PI01153;gid://shopify/Product/8578318860583
PI01315;PI01315;gid://shopify/Product/8577923219751
PI01318;PI01318;gid://shopify/Product/8577923416359
PI01320;PI01320;gid://shopify/Product/8577922957607
PI01321;PI01321;gid://shopify/Product/8577922662695
PI01330;PI01330;gid://shopify/Product/8577922728231
PI01331;PI01331;gid://shopify/Product/8577923907879
PI01333;PI01333;gid://shopify/Product/8577924071719
PI01342;PI01342;gid://shopify/Product/8577774518567
PI01345;PI01345;gid://shopify/Product/8577774289191
PI01346;PI01346;gid://shopify/Product/8577774649639
PI01350;PI01350;gid://shopify/Product/8577774453031
PI01351;PI01351;gid://shopify/Product/8577774780711
PI01383;PI01383;gid://shopify/Product/8578001797415
PI01390;PI01390;gid://shopify/Product/8578002387239
PI01429;PI01429;gid://shopify/Product/8578290483495
PI01473;PI01473;gid://shopify/Product/8577862336807
PI01495;PI01495;gid://shopify/Product/8577855422759
PI01520;PI01520;gid://shopify/Product/9055138185511
PI01547;PI01547;gid://shopify/Product/9055124193575
PI01571;PI01571;gid://shopify/Product/9055227642151
PI01597;PI01597;gid://shopify/Product/9055237079335
PI01623;PI01623;gid://shopify/Product/9118791958823
PI01627;PI01627;gid://shopify/Product/9051268022567
PI01628;PI01628;gid://shopify/Product/9055318933799
PI01629;PI01629;gid://shopify/Product/9055321948455
PI01630;PI01630;gid://shopify/Product/9055243960615
PI01656;PI01656;gid://shopify/Product/9049766560039
PI01682;PI01682;gid://shopify/Product/9118795956519
PI01683;PI01683;gid://shopify/Product/9118700863783
PI01684;PI01684;gid://shopify/Product/9113554616615
PI01710;PI01710;gid://shopify/Product/9113572671783
PI01736;PI01736;gid://shopify/Product/9113437045031
PI01762;PI01762;gid://shopify/Product/9113465454887
PI01788;PI01788;gid://shopify/Product/9113340248359
PI01814;PI01814;gid://shopify/Product/9113592267047
PI01840;PI01840;gid://shopify/Product/9050792919335
PI01841;PI01841;gid://shopify/Product/9050819166503
PI01844;PI01844;gid://shopify/Product/9050854228263
PI01845;PI01845;gid://shopify/Product/9050859602215
PI01847;PI01847;gid://shopify/Product/9050868056359
PI01848;PI01848;gid://shopify/Product/9050873528615
PI01849;PI01849;gid://shopify/Product/9050875265319
PI01850;PI01850;gid://shopify/Product/9050880999719
PI01851;PI01851;gid://shopify/Product/9050886111527
PI01852;PI01852;gid://shopify/Product/9050897809703
PI01853;PI01853;gid://shopify/Product/9050899087655
PI01874;PI01874;gid://shopify/Product/9798283100455
PI01875;PI01875;gid://shopify/Product/9798284181799
PU01278T;PU01278T;gid://shopify/Product/8573594763559
PU01435T;PU01435T;gid://shopify/Product/8608801980711
PU01568T;PU01568T;gid://shopify/Product/8608882622759
PU01729T;PU01729T;gid://shopify/Product/8578434957607
PU01736T;PU01736T;gid://shopify/Product/8578435481895
PU01764T;PU01764T;gid://shopify/Product/8608883573031
PU01801T;PU01801T;gid://shopify/Product/8573508714791
PU01802T;PU01802T;gid://shopify/Product/8573509992743
PU01805T;PU01805T;gid://shopify/Product/8573509730599
PU01806T;PU01806T;gid://shopify/Product/8573510975783
PU01859T;PU01859T;gid://shopify/Product/8577931280679
PU01868T;PU01868T;gid://shopify/Product/8577927053607
PU01873T;PU01873T;gid://shopify/Product/8577927676199
PU01876T;PU01876T;gid://shopify/Product/8577930985767
PU01884T;PU01884T;gid://shopify/Product/8577943830823
PU01887T;PU01887T;gid://shopify/Product/8577943175463
PU01892T;PU01892T;gid://shopify/Product/8577943961895
PU01893T;PU01893T;gid://shopify/Product/8577944191271
PU01903T;PU01903T;gid://shopify/Product/8577941307687
PU01909T;PU01909T;gid://shopify/Product/8577944781095
PU01938T;PU01938T;gid://shopify/Product/8578438824231
PU01967T;PU01967T;gid://shopify/Product/8578446229799
PU01992T;PU01992T;gid://shopify/Product/8608801128743
PU02007T;PU02007T;gid://shopify/Product/8578006384935
PU02016T;PU02016T;gid://shopify/Product/8578005369127
PU02038T;PU02038T;gid://shopify/Product/8578411659559
PU02048T;PU02048T;gid://shopify/Product/8608802537767
PU02061T;PU02061T;gid://shopify/Product/8608883310887
PU02064T;PU02064T;gid://shopify/Product/8608803062055
PU02067T;PU02067T;gid://shopify/Product/8578005827879
PU02073T;PU02073T;gid://shopify/Product/8775433453863
PU02075T;PU02075T;gid://shopify/Product/8578429944103
PU02079T;PU02079T;gid://shopify/Product/8578425356583
PU02127T;PU02127T;gid://shopify/Product/9050896498983
PU02133T;PU02133T;gid://shopify/Product/9050898268455
PU02137T;PU02137T;gid://shopify/Product/9050902266151
PU02140T;PU02140T;gid://shopify/Product/9182879678759
PU02153T;PU02153T;gid://shopify/Product/9564873687335
PU02160T;PU02160T;gid://shopify/Product/9566443405607
TO00002;TO00002;gid://shopify/Product/9057482637607
TO00003;TO00003;gid://shopify/Product/9057493844263
TO00005;TO00005;gid://shopify/Product/9051193147687
TO00011;TO00011;gid://shopify/Product/9057495089447
TO00012;TO00012;gid://shopify/Product/9051200684327
