id;sku;title;price;compareAtPrice;inventoryQuantity;product_id;title.1;totalInventory;totalVariants;mediaCount.count;sku_2;variant.sku;variant.id;encomenda ouro;encomenda prata;Encomendavel;Em estoque
gid://shopify/ProductVariant/46335110545703;BR06376T;Default Title;43900.0;38000.0;6;gid://shopify/Product/8573495181607;Brinco Celebrate Duo | Ouro Branco 18K e Diamantes;6;1;3;BR06376T;BR06376T;gid://shopify/ProductVariant/46335110545703;5.0;0.0;True;True
gid://shopify/ProductVariant/46335115788583;BR06378T;Default Title;29900.0;26000.0;6;gid://shopify/Product/8573495607591;Brinco Celebrate | Ouro Branco 18K e Diamantes;6;1;2;BR06378T;BR06378T;gid://shopify/ProductVariant/46335115788583;5.0;0.0;True;True
gid://shopify/ProductVariant/46335121588519;BR06388T;Default Title;57500.0;57500.0;0;gid://shopify/Product/8573495968039;Brinco Celebrate | Ouro Amarelo 18K com Diamantes e Esmeraldas;0;1;2;BR06388T;BR06388T;gid://shopify/ProductVariant/46335121588519;0.0;0.0;False;False
gid://shopify/ProductVariant/46335226708263;BR05398T;Default Title;1250.0;1250.0;6;gid://shopify/Product/8573505634599;Brinco Chain  - Unitário | Prata Com Ouro Amarelo 18k;6;1;4;BR05398T;BR05398T;gid://shopify/ProductVariant/46335226708263;0.0;5.0;True;True
gid://shopify/ProductVariant/46335229755687;BR05400T;G;2300.0;2300.0;6;gid://shopify/Product/8573505896743;Brinco Argola Chain - G | Prata Com Ouro Amarelo 18k;6;1;5;BR05400T;BR05400T;gid://shopify/ProductVariant/46335229755687;0.0;5.0;True;True
gid://shopify/ProductVariant/46335232704807;BR05404T;Default Title;980.0;980.0;5;gid://shopify/Product/8573506093351;Brinco Chain - Unitário | Prata Com Ouro Amarelo 18k;5;1;5;BR05404T;BR05404T;gid://shopify/ProductVariant/46335232704807;0.0;5.0;True;False
gid://shopify/ProductVariant/46335235391783;BR05407T;Default Title;1800.0;1800.0;5;gid://shopify/Product/8573506322727;Brinco Ear Cuff Chain | Prata Com Ouro Amarelo 18k;5;1;4;BR05407T;BR05407T;gid://shopify/ProductVariant/46335235391783;0.0;5.0;True;False
gid://shopify/ProductVariant/46335237685543;BR05411T;P;1600.0;1600.0;5;gid://shopify/Product/8573506486567;Brinco Argola Chain - P | Prata Com Ouro Amarelo 18k;5;1;5;BR05411T;BR05411T;gid://shopify/ProductVariant/46335237685543;0.0;5.0;True;False
gid://shopify/ProductVariant/46335239291175;BR05602T;Default Title;1400.0;1400.0;5;gid://shopify/Product/8573506617639;Brinco Argola Chain - Mini | Prata Com Ouro Amarelo 18k;5;1;5;BR05602T;BR05602T;gid://shopify/ProductVariant/46335239291175;0.0;5.0;True;False
gid://shopify/ProductVariant/46335240372519;BR05399T;Default Title;1250.0;1250.0;12;gid://shopify/Product/8573506715943;Brinco Chain - Unitário | Prata Com Ródio Negro;12;1;3;BR05399T;BR05399T;gid://shopify/ProductVariant/46335240372519;0.0;0.0;False;True
